"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1634.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xe3c0a90add7a66cce21e571025df1f0967f6d6b4e6de15984b655f93635824b1","15135488","1657731687","2022-07-13 17:01:27","0x5f6a1235bb04a0bd2563eacc11ea00bf851339d0","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.018188481225695969","29.7303457570859","1114.57","","","Purchase",""
"0x1eafef99112999aff2f81f5c32e7881b93bd920bf7e97e7f941bdf60cbe77417","15135488","1657731687","2022-07-13 17:01:27","0x7ef61cacd0c785eacdfe17649d1c5bcba676a858","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.93","0","4789.2901","0.017113095","27.97255169415","1114.57","","","Purchase",""
"0x467f118602ecdf617759d703a6aee46b1c7ef8800ae0660d8bf9afd40368c267","15135488","1657731687","2022-07-13 17:01:27","0xed862d9000356cedfdea4650666312d04cc30a46","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.017118006378277581","27.9805796857412","1114.57","","","Purchase",""
"0xbb2aca3a41c94a7c65d3efee19a6eafa94f98a7c4f11636a8e8797a8fba40f61","15135488","1657731687","2022-07-13 17:01:27","0x84aeccde4c9f217e83d3fa28c31d34378b903f91","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.016008165644622269","26.1664673177302","1114.57","","","Purchase",""
"0xfecb91f21e954b2e43504b0d4c500d2a46175b66debe0fe14b77d44f7395482b","15135488","1657731687","2022-07-13 17:01:27","0x766f2304cd88f0ec67086e480e79fb8f6e76bde0","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.01578364","25.7994644348","1114.57","","","Purchase",""
"0xe8787f78314f1dda48c85fc261247097099637986b3d1f277128bc5f79400312","15135489","1657731700","2022-07-13 17:01:40","0x53dda0a69992b87e51f0f14b1337281f09a2c8da","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.767046947","1253.79192815779","1114.57","","","Purchase",""
"0x36f59ff4cc669e39b930c013ba345156fe96caa4e34f1dc2373be861f9310a4a","15135489","1657731700","2022-07-13 17:01:40","0x5bca4075dfc8065235cf75c6b15b410e62845fec","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.337698408","551.99168676456","1114.57","","","Purchase",""
"0x95c9a116551f4eb009569cf3fc9b0f25483593e4a2f6d9f2923bac0ea35b8f13","15135489","1657731700","2022-07-13 17:01:40","0xf1c71b88e333829b05258303c4f8bd0ad79dd6b4","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","0.281343383","459.87545355031","1114.57","","","Purchase",""
"0xaa6cf9d8de178624c26ee75823491dc997dad7c72c2a7f019e11135548082468","15135489","1657731700","2022-07-13 17:01:40","0x77dee8daa7fb80d19ec464aba89d4241f42dd743","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.213281940593247939","348.624261635505","1114.57","","","Purchase",""
"0x5efe8233afef4350b95baeffed44dd19972b03524472f4cdcb180c3d5a3f244e","15135489","1657731700","2022-07-13 17:01:40","0x12a1da4cd1c4cd0a5c0dfc922f996f79511c708e","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.184336615","301.31110078055","1114.57","","","Purchase",""
