"ID","Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1634.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
2,"0x34222ddad79b1c087702f5bcf69057b7ea03cbc94fea2d7237f9aec204dacf6e","15135481","1657731617","2022-07-13 17:00:17","0xbc5126ea9d3a9b7e8353051dc646bfc4fc65c1f7","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.255650094","417.87797414958","1114.57","","","Purchase"
3,"0x4e651098639bf320820465b4e9e7302e6b187353499272593c8b815d7a001c19","15135481","1657731617","2022-07-13 17:00:17","0x686c25771d9afd37f896d5127826d22d897d4e3d","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.10894366142821827","178.076040660723","1114.57","","","Purchase"
4,"0x11a69f18d0f1611f0c16a5715a2e516a8c89654aaa6c9a15bdd603ec331b033a","15135481","1657731617","2022-07-13 17:00:17","0xfc13af4afac717d36fcfe4e75f38faee5abcaff6","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.08576212936758831","140.184203800379","1114.57","","","Purchase"
5,"0xd732fa005750e21048bec453e66f194e47535c05885f347a3348e1180eb3d91b","15135481","1657731617","2022-07-13 17:00:17","0x0ce1a4f1c6c636cd4e29357e1904b7b7eac95dba","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.0789182","128.997322174","1114.57","","","Purchase"
6,"0xc49add279ac8f786e9d6a1ca770374dd5938b2754c25578ddef981ecbae0edcd","15135481","1657731617","2022-07-13 17:00:17","0x8e554d06b63a018dd792250d9266eb57b9c5b245","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.03002546142821827","49.0787184867227","1114.57","","","Purchase"
7,"0x1d4c1aa893e978febf01b16531baea2e97a1c224d1cf38f0cb472f04674bb9c0","15135483","1657731634","2022-07-13 17:00:34","0x3d487d061a127a6e2455cc5728de7bba7daafcc0","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.133371758","218.00547447406","1114.57","","","Purchase"
8,"0xc2f7f14eae2f45d9afceeab2ddc1b93a91c1cabd09e3a1308876a4fcfa5bc589","15135483","1657731634","2022-07-13 17:00:34","0xc1b43597dbf563f8962c75f1f1730266a4d7f57f","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.129744342","212.07620910294","1114.57","","","Purchase"
9,"0xe96b464bbcf7ea4e8be7add4194db2a7c934a135e4bfb086d915d4423bb6dae5","15135483","1657731634","2022-07-13 17:00:34","0xee956511a3819339b22314ae18f95bb75c3d7160","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.109759023","179.40880622511","1114.57","","","Purchase"
10,"0xfd933c1f792a52cbdc9e408c348e32ece037be57c00e7bf086cb2b04e2655134","15135484","1657731635","2022-07-13 17:00:35","0x87287c6061f898161b1d5ab2c59374deea07b036","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","1.108098377454820813","1811.26436483633","1114.57","","","Purchase"
11,"0x9f5ccd6aad3aae43827daa324bd48b07bfac7c2ffe6b8f808e26db9d7da4bd97","15135484","1657731635","2022-07-13 17:00:35","0x87287c6061f898161b1d5ab2c59374deea07b036","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","1.108098377454820813","1811.26436483633","1114.57","","","Purchase"
